AuthorName,AuthorID,AffiliationName,AffiliationID,TopPaperCount
hermann ney,79A76B63,rwth aachen university,34ED541F,45
wei wang,847143F3,chinese academy of sciences,012E6F4E,45
yiannis aloimonos,110D005D,university of maryland college park,03FD8454,45
jaideep srivastava,7F94E5D4,university of minnesota,07C34834,45
ramesh jain,7F261178,university of michigan,01A8C383,45
eduard hovy,79FC7641,information sciences institute,0B0338EC,45
srinivasa g narasimhan,7A8903D3,carnegie mellon university,0477FFD3,45
xiaojin zhu,7F16FF6E,university of wisconsin madison,0810AAFA,44
prasad tadepalli,76D36103,oregon state university,07D2B6B9,44
alessandro cimatti,581DE95E,university of trento,0B845BA3,44
tinne tuytelaars,752CFFDC,katholieke universiteit leuven,05EDB3A0,44
emerson murphyhill,4829AB15,north carolina state university,083839C7,44
michael lesk,0D6ED370,rutgers university,06194FDE,44
boon thau loo,7FC400DE,university of pennsylvania,04BE3F72,44
ronen i brafman,292C39AB,ben gurion university of the negev,07679147,44
robert balzer,8007526B,information sciences institute,0B0338EC,44
rakesh agrawal,7F75CF5C,ibm,4FF45383,43
sachin katti,7EF9A66F,stanford university,05C86094,43
lionel c briand,7FD35A4C,university of luxembourg,0B23EC19,43
peter wonka,2B759249,arizona state university,0352694C,43
elad hazan,7F8502F5,princeton university,01328BF3,43
jimeng sun,7DC9EEBE,ibm,4FF45383,43
andrew t duchowski,019948A3,clemson university,007B4591,43
james a landay,01C0BF6D,university of california berkeley,05B090CE,43
john lafferty,75D12588,carnegie mellon university,0477FFD3,43
moshe sidi,814A289F,technion israel institute of technology,0A63B3A3,43
elaine shi,8045B6EA,university of maryland college park,03FD8454,43
brian d davison,8359D325,lehigh university,0B185497,43
ravi kumar,7EA3D2C5,yahoo,4F05DC4B,42
nicholas j belkin,28B1FBAD,rutgers university,06194FDE,42
jeffrey s foster,8075E7B2,university of maryland college park,03FD8454,42
brian n bershad,7684F547,university of washington,0C01DCFD,42
patrick mcdaniel,7A8F3DBE,pennsylvania state university,07CB626B,42
vaughan r pratt,7E63E586,stanford university,05C86094,42
ralf schenkel,789D5034,max planck society,08EF476D,42
shriram krishnamurthi,7F283270,brown university,01A842AA,42
matthew b dwyer,808ADBC8,university of nebraska lincoln,06D18AFD,42
volker tresp,0A716934,siemens,4F076E00,42
nebojsa jojic,7CB1BDE5,microsoft,4CE6FC2D,41
naftali tishby,816A69B2,hebrew university of jerusalem,0BC1D058,41
christopher jermaine,10C096C0,university of florida,01FACAD8,41
bin cui,7B6ED9F5,peking university,0134B592,41
yasuyuki matsushita,7CE892C0,microsoft,4CE6FC2D,41
adrian perrig,83ED96BF,carnegie mellon university,0477FFD3,41
carlo ghezzi,851B26C0,instituto politecnico nacional,0389C918,41
kilian q weinberger,77713473,washington university in st louis,0C2FE58D,41
mary lou soffa,28F17933,university of pittsburgh,0A2510E5,41
baruch schieber,7DACC10F,ibm,4FF45383,41
insup lee,813D0A4D,university of pennsylvania,04BE3F72,41
maurice herlihy,7B47207B,brown university,01A842AA,40
eiichiro sumita,0604F6C5,national institute of information and communications technology,055DA639,40
marin litoiu,480F25A3,york university,0B78A521,40
lu zhang,7D5AA182,peking university,0134B592,40
vladlen koltun,6BD62605,stanford university,05C86094,40
yan chen,7D51F344,northwestern university,06ACAD91,40
eugene charniak,062A0022,brown university,01A842AA,40
alvin r lebeck,7A392F9E,duke university,0A2FAFA5,40
frank tip,8104A982,ibm,4FF45383,40
khai n truong,7FD00BDA,university of toronto,0B0ADEB6,39
yuliang zheng,7E2F21DB,monash university,035F81F4,39
yael dubinsky,7A3A718C,ibm,4FF45383,39
charles e leiserson,080885C2,massachusetts institute of technology,03D00B37,39
oren kurland,014CF1D5,technion israel institute of technology,0A63B3A3,39
james allan,7CFE2621,university of massachusetts amherst,01776B6C,39
anoop gupta,856A7126,stanford university,05C86094,39
dimitris samaras,7592D413,stony brook university,038CB6F6,39
mendel rosenblum,7D58C4D3,stanford university,05C86094,39
michael j fischer,80B8C8FB,yale university,01F71AD0,39
kenneth l mcmillan,7BE79D99,cadence design systems,03F265ED,39
harold ossher,7905947C,ibm,4FF45383,39
alex waibel,7AD98080,carnegie mellon university,0477FFD3,39
francis bach,7E70A12A,french institute for research in computer science and automation,4F10C1EB,38
gordon plotkin,7BC5A0FF,university of edinburgh,05E1B1D9,38
